cycle_number,energy_charge,capacity_charge,energy_discharge,capacity_discharge,cycle_start,cycle_duration,filename,battery_name,batch,cell_id,anode,cathode,electrolyte,dataset_name,eol_cycle,eol_class,eol_class_encoded
167,-2.7404686390039514,-2.6165410084351275,-1.7848271182857252,-1.4280602802963702,1.4277661231898826,1.9084235540958066,batch_B13A_cell_4.h5,batch_B13A_cell_4,B13A,4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,Argonne,8,Short,2
167,-1.3210935640850612,-1.3634556248933933,-0.8851897663202741,-1.1486507501573329,1.4642931672750887,5.571407371835065,batch_B1A_cell_4.h5,batch_B1A_cell_4,B1A,4,C,HE5050,Gen 2,Argonne,26,Long,0
168,-1.0438068600601056,-1.034725555541618,-1.1361759789123425,-1.2199597730108867,1.323035398640043,1.0109151705511497,batch_B16A_cell_1.h5,batch_B16A_cell_1,B16A,1,C_Si,NMC532,Gen 2,Argonne,14,Moderate,1
168,-0.9721982518252608,-0.9671165474883281,-1.533193450586413,-1.3956742955596655,1.377060262821059,0.9735572127942922,batch_B16A_cell_6.h5,batch_B16A_cell_6,B16A,6,C_Si,NMC532,Gen 2,Argonne,14,Moderate,1
179,-4.277443022221507,-4.119084987185206,-2.833577702498961,-2.4689389059554094,1.5131596367798235,4.3600006975966075,batch_B4B_cell_4.h5,batch_B4B_cell_4,B4B,4,C,HE5050,Gen 2,Argonne,4,Short,2
179,-2.8288335818919825,-2.734417901723558,-0.9354184560822897,-0.9463215855660946,1.4868716335088805,4.332752234296156,batch_B3B_cell_7.h5,batch_B3B_cell_7,B3B,7,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,27,Long,0
179,-2.3620185549043087,-2.2844189133707085,-1.815252384527851,-1.849104814178679,1.283632128289582,3.5142097834960935,batch_B4B_cell_6.h5,batch_B4B_cell_6,B4B,6,C,HE5050,Gen 2,Argonne,4,Short,2
179,-2.412527121313953,-2.33135006399085,-1.6918263969812026,-1.7495086183402722,1.2983184737191948,3.7660146773939953,batch_B4B_cell_2.h5,batch_B4B_cell_2,B4B,2,C,HE5050,Gen 2,Argonne,4,Short,2
179,-2.531741699395291,-2.450140228555021,-1.8780095868767348,-1.954014275361271,1.322490152064879,3.5716294885395308,batch_B4B_cell_8.h5,batch_B4B_cell_8,B4B,8,C,HE5050,Gen 2,Argonne,7,Short,2
179,-2.9127124839846226,-2.84261569132592,-1.1923880703522218,-1.8124475445566435,1.5370703053709016,4.389286345632043,batch_B3B_cell_3.h5,batch_B3B_cell_3,B3B,3,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,7,Short,2
179,-3.5638133600058564,-3.469382551964383,-2.0761035598417754,-2.4525960492820675,1.5515314289940376,4.398033563446812,batch_B3B_cell_5.h5,batch_B3B_cell_5,B3B,5,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,7,Short,2
179,-1.717445562007681,-1.6364419774387713,-0.9667042479076827,-1.0001497250471796,1.2004332314920498,3.6406661210388664,batch_B4B_cell_3.h5,batch_B4B_cell_3,B4B,3,C,HE5050,Gen 2,Argonne,10,Short,2
180,-1.3094501365265332,-1.4003156550416793,-0.08087494373589305,-0.7947739676037271,1.5535838174565437,4.471851964440027,batch_B3B_cell_2.h5,batch_B3B_cell_2,B3B,2,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,7,Short,2
180,-1.0080067853138945,-1.1963801506135503,-2.8657061891143263,-2.6905758911083204,1.5896653946268176,-0.07598431471670034,batch_B3A_cell_4.h5,batch_B3A_cell_4,B3A,4,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,9,Short,2
180,-3.1688096741330325,-3.081392997558873,-1.8922286456493684,-2.1239382721260274,1.5044972629763753,4.127946228730595,batch_B3B_cell_1.h5,batch_B3B_cell_1,B3B,1,C, Li1.2Ni0.3Mn0.6O2,Gen 2,Argonne,7,Short,2
182,-1.3909903925883889,-1.3631140197829485,-1.400202843317591,-1.3957773621287615,1.2592640465902838,-0.4470291677856536,batch_B16A_cell_2.h5,batch_B16A_cell_2,B16A,2,C_Si,NMC532,Gen 2,Argonne,22,Long,0
189,-1.4392741676988081,-1.4120359205734538,-1.4287116585219088,-1.4303847440073931,1.2534270104992569,-0.40961638116479143,batch_B16A_cell_3.h5,batch_B16A_cell_3,B16A,3,C_Si,NMC532,Gen 2,Argonne,13,Moderate,1
190,-1.5045881289636065,-1.4679011082959794,-1.4941711494150658,-1.4853119636946845,1.230499124420714,-0.4341891109706206,batch_B16A_cell_4.h5,batch_B16A_cell_4,B16A,4,C_Si,NMC532,Gen 2,Argonne,14,Moderate,1
192,-1.4034853180790674,-1.417926665047252,-1.4156085159099423,-1.7273802551639041,1.5229088430809297,-0.3703445239882296,batch_B37B_cell_4.h5,batch_B37B_cell_4,B37B,4,C_Si,NMC622,Gen 2,Argonne,27,Long,0
192,-1.3972214786459782,-1.4125902717867236,-1.407908588465137,-1.7130460648309205,1.5228228837959457,-0.37281174778735676,batch_B37B_cell_1.h5,batch_B37B_cell_1,B37B,1,C_Si,NMC622,Gen 2,Argonne,32,Long,0
192,-1.419519897158303,-1.4337124618449375,-1.4300420204571735,-1.7086617415954317,1.5200083407346219,-0.3918249985105943,batch_B37B_cell_2.h5,batch_B37B_cell_2,B37B,2,C_Si,NMC622,Gen 2,Argonne,35,Long,0
192,-1.4227262476608122,-1.433381431141237,-1.427400128132714,-1.6871446805507486,1.5136204931254742,-0.391160404022965,batch_B37B_cell_3.h5,batch_B37B_cell_3,B37B,3,C_Si,NMC622,Gen 2,Argonne,37,Long,0
194,-1.0559314551260002,-1.1057990681592642,-1.0429459299849146,-1.117958673454175,1.3402754121246012,-0.35714995545789263,batch_B16A_cell_7.h5,batch_B16A_cell_7,B16A,7,C_Si,NMC532,Gen 2,Argonne,14,Moderate,1
194,-0.9441580504136657,-1.01756745761405,-0.9544812259707471,-1.0462517251004761,1.3602729326196639,-0.3350664895144403,batch_B16A_cell_8.h5,batch_B16A_cell_8,B16A,8,C_Si,NMC532,Gen 2,Argonne,14,Moderate,1
210,-1.7655468211847225,-1.7457585047484083,-1.7381056648309117,-1.8040424427989543,1.37527335172968,-0.47117916841316076,batch_B11B_cell_4.h5,batch_B11B_cell_4,B11B,4,LTO,5Vspinel,R&D,Argonne,13,Moderate,1
213,-1.1573537009897896,-1.1486556255083513,-1.1479418325692954,-1.1760443978373818,1.2919587479175143,-0.43353442003445813,batch_B26U_cell_5.h5,batch_B26U_cell_5,B26U,5,C,5Vspinel,E17,Argonne,15,Moderate,1
213,1.0315375960078192,1.009583119759572,1.2074818233982707,1.19844067101077,1.8638661762951712,0.5447252639874065,batch_B8A_cell_1.h5,batch_B8A_cell_1,B8A,1,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,Argonne,9,Short,2
213,-1.0195589448567939,-1.009403503479151,-1.0019623146117809,-1.0316567498963947,1.247912605538694,-0.4162957090526831,batch_B26P_cell_6.h5,batch_B26P_cell_6,B26P,6,C,5Vspinel,E12,Argonne,15,Moderate,1
215,-1.709257218784643,-1.8225629383612956,-0.8699811071037556,-1.3198411734150133,1.4949097656237584,1.5036582004002268,batch_B9A_cell_22.h5,batch_B9A_cell_22,B9A,22,C,HE5050,Gen 2,Argonne,10,Short,2
217,-2.1138289248666946,-2.1295223070425062,-1.8387318884931696,-1.981131052238394,1.3805176073188166,0.9900033120467441,batch_B6D_cell_6.h5,batch_B6D_cell_6,B6D,6,C,NMC111,Gen 2,Argonne,7,Short,2
217,-1.9325541994278717,-1.840909363080023,-1.4317641363666498,-0.9565213873956999,1.4226083231909692,1.4825158396980007,batch_B13A_cell_8.h5,batch_B13A_cell_8,B13A,8,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,Argonne,15,Moderate,1
217,-1.6562784032375155,-1.601683310668914,-1.0314281843760873,-0.9262332117763247,1.2521502676585976,1.6701390492853139,batch_B13A_cell_13.h5,batch_B13A_cell_13,B13A,13,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,Argonne,10,Short,2
217,-2.0647908765283343,-2.0934036050000198,-1.8858285699990953,-1.9819696149668216,1.4051526696161811,0.993973063019184,batch_B6D_cell_3.h5,batch_B6D_cell_3,B6D,3,C,NMC111,Gen 2,Argonne,7,Short,2
218,-0.8695449322089894,-0.8607097330534008,-0.5597520029975134,-0.6767671512191612,1.3845786053517701,1.0597361063964552,batch_B26M_cell_2.h5,batch_B26M_cell_2,B26M,2,C,5Vspinel,E9,Argonne,12,Short,2
218,-1.177865333383476,-1.208589345003815,-0.9401717487794908,-1.0438627074814875,1.5226782869353104,1.044466292627805,batch_B26N_cell_1.h5,batch_B26N_cell_1,B26N,1,C,5Vspinel,E10,Argonne,19,Long,0
218,-1.6763246827994809,-1.6690285614449347,-1.2384198695011641,-1.493254267645084,1.4065623246965142,0.9161238481541933,batch_B26T_cell_4.h5,batch_B26T_cell_4,B26T,4,C,5Vspinel,E16,Argonne,15,Moderate,1
218,-1.4619544294164402,-1.4637366246271886,-1.05356857076519,-1.2165515969234213,1.4035979800285627,1.1174069748485524,batch_B26T_cell_5.h5,batch_B26T_cell_5,B26T,5,C,5Vspinel,E16,Argonne,16,Long,0
218,-1.8493517653925857,-1.8298223369886526,-1.29010529210956,-1.6433560523376984,1.4534704139056467,0.9227789415304026,batch_B26Q_cell_3.h5,batch_B26Q_cell_3,B26Q,3,C,5Vspinel,E13,Argonne,15,Moderate,1
218,-1.1697296572427855,-1.1613901988016329,-0.8304003250524046,-1.076987890257682,1.3658009154632136,0.9442786217287579,batch_B26O_cell_1.h5,batch_B26O_cell_1,B26O,1,C,5Vspinel,E11,Argonne,19,Long,0
218,-1.4578351922646435,-1.4774371303444322,-1.1438345232068374,-1.259247364270211,1.4776251410841117,0.9971834915575927,batch_B26W_cell_5.h5,batch_B26W_cell_5,B26W,5,C,5Vspinel,E19,Argonne,17,Long,0
218,-1.2959793999800926,-1.2799790802075874,-0.8028568967925039,-1.1435089407411472,1.4650375837683984,1.0116710403359095,batch_B26AA_cell_4.h5,batch_B26AA_cell_4,B26AA,4,C,5Vspinel,Gen 2,Argonne,11,Short,2
218,-1.2901425965504598,-1.349885649899524,-1.3494221905632382,-1.5109222061900154,1.5793857821852118,0.9451778071178414,batch_B26Z_cell_3.h5,batch_B26Z_cell_3,B26Z,3,C,5Vspinel,E22,Argonne,15,Moderate,1
218,-1.2820502208475244,-1.2897669365896913,-0.9081137107316144,-1.229477428768898,1.439906460602445,0.8877934808064437,batch_B26O_cell_4.h5,batch_B26O_cell_4,B26O,4,C,5Vspinel,E11,Argonne,30,Long,0
218,-1.0243196033256052,-1.0315134029880382,-0.5739782663797808,-0.7422370078625119,1.4132225213536307,1.0854712674846967,batch_B26V_cell_5.h5,batch_B26V_cell_5,B26V,5,C,5Vspinel,E18,Argonne,15,Moderate,1
218,-1.1583681003227937,-1.1563336899907153,-0.6948954849241415,-0.6781450410562058,1.5682853532090555,1.4124723175422906,batch_B26AA_cell_1.h5,batch_B26AA_cell_1,B26AA,1,C,5Vspinel,Gen 2,Argonne,15,Moderate,1
218,-1.0381392977783772,-1.0537917275723914,-0.35720928466463486,-0.5968479363991344,1.529060636974377,1.4288639056564894,batch_B26S_cell_5.h5,batch_B26S_cell_5,B26S,5,C,5Vspinel,E15,Argonne,12,Short,2
218,-1.2242931118815665,-1.2698308767638729,-1.0505646378842737,-1.180261458854182,1.5492322857857859,0.989776474444109,batch_B26Y_cell_5.h5,batch_B26Y_cell_5,B26Y,5,C,5Vspinel,E21,Argonne,15,Moderate,1
218,-1.4749933165053142,-1.495090229842182,-1.1700309286086834,-1.3244994801968126,1.513235785678681,0.9711416894881181,batch_B26Z_cell_2.h5,batch_B26Z_cell_2,B26Z,2,C,5Vspinel,E22,Argonne,15,Moderate,1
218,-1.305924089470869,-1.3028544656679033,-0.9442218397264337,-1.0358927304224037,1.370796447831363,1.1449608475269863,batch_B26O_cell_5.h5,batch_B26O_cell_5,B26O,5,C,5Vspinel,E11,Argonne,16,Long,0
218,-1.7367044378169316,-1.7908536333696325,-1.6108753459500174,-1.8448411504111148,1.588210773547909,1.3912277695761857,batch_B26Q_cell_5.h5,batch_B26Q_cell_5,B26Q,5,C,5Vspinel,E13,Argonne,11,Short,2
218,-1.3348501268474189,-1.4048848300232357,-1.5130282379986564,-1.6728417090984569,1.5792171295767077,0.9227523626629047,batch_B26Z_cell_1.h5,batch_B26Z_cell_1,B26Z,1,C,5Vspinel,E22,Argonne,12,Short,2
219,-1.3647152246910963,-1.3564570547253836,-0.9679699580721338,-1.0873222828485807,1.3615872195309753,0.9548187701050148,batch_B26T_cell_2.h5,batch_B26T_cell_2,B26T,2,C,5Vspinel,E16,Argonne,16,Long,0
220,-0.6167630895474167,-0.6444817432445328,-0.9251383163380968,-0.43827452040489134,1.5611124562660776,1.0238764198794241,batch_B26K_cell_1.h5,batch_B26K_cell_1,B26K,1,C,5Vspinel,E7,Argonne,12,Short,2
220,-0.3333731463527046,-0.3847627672062779,-0.6889309495703013,-0.7278140985474975,1.574547199454583,1.0516577708737112,batch_B26K_cell_2.h5,batch_B26K_cell_2,B26K,2,C,5Vspinel,E7,Argonne,12,Short,2
229,-1.2459338641199662,-1.2440021675469612,-1.275340464356573,-1.3212544620804172,1.146499078834148,-0.4753390166447242,batch_B9A_cell_21.h5,batch_B9A_cell_21,B9A,21,C,HE5050,Gen 2,Argonne,10,Short,2
229,-1.3337955122142944,-1.3291674920894605,-1.3518795354752353,-1.397324039936177,1.1118197245838817,-0.5053788047062044,batch_B9A_cell_20.h5,batch_B9A_cell_20,B9A,20,C,HE5050,Gen 2,Argonne,10,Short,2
230,-1.8058121788142456,-1.8251347121853494,-1.8644618442381575,-1.948484729113759,1.2891407006954851,-0.433920412397546,batch_B9C_cell_8.h5,batch_B9C_cell_8,B9C,8,C,HE5050,Gen 2,Argonne,11,Short,2
234,-0.9698229986604494,-1.0592584474536129,-0.9645225553337164,-0.9642689728340497,1.3837950286309673,0.9948119479644395,batch_B9B_cell_6.h5,batch_B9B_cell_6,B9B,6,C,HE5050,Gen 2,Argonne,12,Short,2
234,-0.8726202539887807,-0.9652764032751732,-0.9410733145230461,-0.9042055799529054,1.4231306514535116,0.9954299615427828,batch_B9B_cell_7.h5,batch_B9B_cell_7,B9B,7,C,HE5050,Gen 2,Argonne,12,Short,2
234,-0.9062785287177758,-0.987082142655471,-0.8132677572734116,-0.8065599958554409,1.3821412720318456,1.0393114161709984,batch_B9B_cell_5.h5,batch_B9B_cell_5,B9B,5,C,HE5050,Gen 2,Argonne,21,Long,0
234,-1.49828595001747,-1.4588341830075895,-1.2704352900033251,-1.119951761256226,1.1506418972932824,1.3684121345710596,batch_B9A_cell_19.h5,batch_B9A_cell_19,B9A,19,C,HE5050,Gen 2,Argonne,10,Short,2
234,-1.4422774922911772,-1.4543060954831253,-1.365420262844,-1.3162920159803935,1.1858056331774895,1.3026164814921701,batch_B9A_cell_18.h5,batch_B9A_cell_18,B9A,18,C,HE5050,Gen 2,Argonne,10,Short,2
234,-1.9842169037272832,-1.914971149339402,-1.4973936524958689,-1.4943225744162647,1.236232698853299,0.929046711117015,batch_B9C_cell_7.h5,batch_B9C_cell_7,B9C,7,C,HE5050,Gen 2,Argonne,12,Short,2
234,-0.9902752886962112,-1.162685054200929,-1.2721380403406948,-1.212986493961556,1.4247178522770385,0.9255562927797333,batch_B9C_cell_5.h5,batch_B9C_cell_5,B9C,5,C,HE5050,Gen 2,Argonne,9,Short,2
234,-0.8060891336246399,-0.8954761063565991,-0.8818931398540162,-0.8525007437134613,1.416408345575828,0.9862024849611073,batch_B9B_cell_8.h5,batch_B9B_cell_8,B9B,8,C,HE5050,Gen 2,Argonne,12,Short,2
249,-1.3752396574342958,-1.3723735609000172,-1.377374661192459,-1.3712650753334303,1.5194380534269052,-1.3731389948571022,batch_B17A_cell_8.h5,batch_B17A_cell_8,B17A,8,C_Si,NMC532,Gen 2,Argonne,24,Long,0
249,-1.3483623263995177,-1.3472924914578999,-1.358605415211565,-1.3545589229366441,1.5162369293340887,-1.3559437627624553,batch_B17A_cell_6.h5,batch_B17A_cell_6,B17A,6,C_Si,NMC532,Gen 2,Argonne,23,Long,0
249,-1.1838147937572099,-1.1899670376608522,-1.1867580923229517,-1.1901963482170625,1.5148692607783203,-1.1930989394013793,batch_B17A_cell_7.h5,batch_B17A_cell_7,B17A,7,C_Si,NMC532,Gen 2,Argonne,25,Long,0
249,-1.3824771004064176,-1.3792058222124066,-1.3822105963795452,-1.3755498211192416,1.5174636657713396,-1.3779446798833366,batch_B17A_cell_5.h5,batch_B17A_cell_5,B17A,5,C_Si,NMC532,Gen 2,Argonne,24,Long,0
250,-1.0900705456223991,-1.0804118624760943,-1.0889706030839388,-1.080458154715201,1.4831356296254277,-1.0736055864901715,batch_B16A_cell_9.h5,batch_B16A_cell_9,B16A,9,C_Si,NMC532,Gen 2,Argonne,24,Long,0
250,-1.0217791786438661,-1.0146895900231574,-1.019007185460399,-1.0131025855362974,1.489307123615669,-1.0086424931809277,batch_B16A_cell_11.h5,batch_B16A_cell_11,B16A,11,C_Si,NMC532,Gen 2,Argonne,24,Long,0
253,-0.5738549587178673,-0.5608364769492548,-1.2879439566861102,-2.079682481479494,1.484541347002404,11.651473005193123,batch_B16A_cell_12.h5,batch_B16A_cell_12,B16A,12,C_Si,NMC532,Gen 2,Argonne,24,Long,0
256,-2.870705473956226,-2.72275030876254,-2.3085953973122053,-1.784898690208247,1.7123066603015626,9.024815192381936,batch_B16A_cell_10.h5,batch_B16A_cell_10,B16A,10,C_Si,NMC532,Gen 2,Argonne,24,Long,0
266,-1.139510160110933,-1.1494016311929471,-1.1428251447499933,-1.1937796970277135,1.5202870851263037,-0.5432770679163399,batch_B17A_cell_1.h5,batch_B17A_cell_1,B17A,1,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
266,-1.305562754112081,-1.3090182520004654,-1.3122303479556623,-1.3649842742425549,1.513717586086131,-0.6094721515122213,batch_B17A_cell_3.h5,batch_B17A_cell_3,B17A,3,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
266,-1.2525336446895532,-1.2579150557003982,-1.2592675004782365,-1.307354717165657,1.5115687532636115,-0.5939456820432881,batch_B17A_cell_2.h5,batch_B17A_cell_2,B17A,2,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
266,-1.298663016032709,-1.3031404785066674,-1.315783584429396,-1.365533931454292,1.5059097339075984,-0.6221195440009106,batch_B17A_cell_4.h5,batch_B17A_cell_4,B17A,4,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
270,-0.8606894714839287,-0.8590100781229876,-0.8867731270261853,-0.903004093893842,1.4191160313013989,-0.36513660334748066,batch_B35H_cell_2.h5,batch_B35H_cell_2,B35H,2,C_LICGC,NMC532,Gen 2,Argonne,17,Long,0
270,-0.7703735876228021,-0.7678357998355189,-0.7995458676728424,-0.8182426861581948,1.4562102986883598,-0.33346883980907677,batch_B35H_cell_1.h5,batch_B35H_cell_1,B35H,1,C_LICGC,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.4613621787593636,-1.4825959427223747,-1.360239618607628,-1.3946119443116036,1.434662420909638,1.2851308517782383,batch_B28A_cell_49.h5,batch_B28A_cell_49,B28A,49,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.725875643855572,-1.7272312966575907,-1.4866409735617463,-1.5618443667314905,1.4264093745453572,1.2722377158766545,batch_B28A_cell_42.h5,batch_B28A_cell_42,B28A,42,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.2959826584560312,-1.3220929858516204,-1.311778046175322,-1.3043513549508186,1.440832022208892,1.2759223502100243,batch_B28A_cell_48.h5,batch_B28A_cell_48,B28A,48,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.4696017314521503,-1.494818243934904,-1.4342501912627723,-1.423746316918046,1.434796673824015,1.2847245597039136,batch_B28A_cell_44.h5,batch_B28A_cell_44,B28A,44,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.3961850007967826,-1.4227315072728957,-1.3927914919184539,-1.3805845094630156,1.4402183798164703,1.2893249670447982,batch_B28A_cell_45.h5,batch_B28A_cell_45,B28A,45,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.2939965240680067,-1.3231567278375271,-1.3251123336148514,-1.311898381596915,1.4402230825031364,1.2734988965619507,batch_B28A_cell_47.h5,batch_B28A_cell_47,B28A,47,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.416483400838879,-1.4408943525233067,-1.4161385614978617,-1.4040192679954244,1.4359400078561322,1.2739952056524193,batch_B28A_cell_43.h5,batch_B28A_cell_43,B28A,43,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
275,-1.2923071839197682,-1.3191405661008904,-1.3103044992441792,-1.3019739623841402,1.4410198877886478,1.2789223954672047,batch_B28A_cell_46.h5,batch_B28A_cell_46,B28A,46,C_Si,NMC532,Gen 2,Argonne,15,Moderate,1
356,-0.76703780054442,-0.7683928118679115,-0.8835820329865597,-1.1261968102331965,1.6474725026508916,-0.24372954260653612,batch_B12B_cell_3.h5,batch_B12B_cell_3,B12B,3,C,HE5050,Gen 2,Argonne,9,Short,2
367,-0.7812365690598094,-0.7917398423433455,-1.4716164378461176,-1.4293941057461572,1.630339054796698,-0.23610397740357053,batch_B12B_cell_1.h5,batch_B12B_cell_1,B12B,1,C,HE5050,Gen 2,Argonne,11,Short,2
419,-1.8323704034558208,-1.8886055913317643,-1.6453917897265231,-1.9360939973606852,1.5964285071474036,1.0095553980024916,batch_B26R_cell_1.h5,batch_B26R_cell_1,B26R,1,C,5Vspinel,E14,Argonne,15,Moderate,1
419,-1.4724665125174852,-1.5187558553468687,-1.415548435647922,-1.5519049253345665,1.5987733379992655,1.1542249268829925,batch_B26W_cell_3.h5,batch_B26W_cell_3,B26W,3,C,5Vspinel,E19,Argonne,15,Moderate,1
419,-1.8416366443207879,-1.8674684175436531,-1.7025006295527845,-1.8603088521712257,1.5847076668287194,1.1772871905591566,batch_B26X_cell_4.h5,batch_B26X_cell_4,B26X,4,C,5Vspinel,E20,Argonne,15,Moderate,1
419,-1.3923938225403758,-1.4665734493279379,-1.4195669339247319,-1.6155809853944392,1.6209094544241403,1.0961253563063222,batch_B26P_cell_2.h5,batch_B26P_cell_2,B26P,2,C,5Vspinel,E12,Argonne,15,Moderate,1
419,-1.0225657746571633,-1.1145606880453325,-1.2722004468291985,-1.4508580600660432,1.650724097685362,1.114415456999713,batch_B26Y_cell_3.h5,batch_B26Y_cell_3,B26Y,3,C,5Vspinel,E21,Argonne,16,Long,0
419,-1.8787625734133997,-1.9297898670276405,-1.75680468873695,-1.9826302270177822,1.5961646905155091,1.0459215949273073,batch_B26V_cell_3.h5,batch_B26V_cell_3,B26V,3,C,5Vspinel,E18,Argonne,15,Moderate,1
419,-2.118698510870866,-2.1119302530240045,-1.7297622431714061,-1.9366902035065725,1.5439102111527507,1.1199725173799264,batch_B26X_cell_1.h5,batch_B26X_cell_1,B26X,1,C,5Vspinel,E20,Argonne,15,Moderate,1
419,-1.7859425057307934,-1.8005886644611715,-1.5552692801598411,-1.692752108213704,1.5646270337232913,1.1777896075981675,batch_B26X_cell_3.h5,batch_B26X_cell_3,B26X,3,C,5Vspinel,E20,Argonne,15,Moderate,1
419,-1.0515001734508278,-1.1471189216910977,-1.4319537661962487,-1.4682467967893327,1.6438160826805641,1.1391569089175992,batch_B26Y_cell_4.h5,batch_B26Y_cell_4,B26Y,4,C,5Vspinel,E21,Argonne,19,Long,0
